loan_amnt,int_rate,annual_inc,dti,delinq_2yrs,fico_range_low,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,total_rec_int,total_rec_late_fee,recoveries,last_pymnt_amnt,last_fico_range_high,collections_12_mths_ex_med,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,inq_fi,total_cu_tl,inq_last_12m,avg_cur_bal,bc_open_to_buy,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_tl,num_il_tl,num_tl_90g_dpd_24m,pct_tl_nvr_dlq,pub_rec_bankruptcies,tax_liens,loan_status
3600.0,13.99,55000.0,5.91,0.0,675.0,1.0,30.0,7.0,0.0,2765.0,29.7,13.0,0.0,821.72,0.0,0.0,122.67,564.0,0.0,722.0,144904.0,2.0,2.0,0.0,1.0,21.0,4981.0,36.0,3.0,3.0,722.0,34.0,3.0,1.0,4.0,20701.0,1506.0,0.0,0.0,148.0,128.0,3.0,3.0,1.0,4.0,4.0,2.0,2.0,4.0,5.0,3.0,0.0,76.9,0.0,0.0,1
24700.0,11.99,65000.0,16.06,1.0,715.0,4.0,6.0,22.0,0.0,21470.0,19.2,38.0,0.0,979.66,0.0,0.0,926.35,699.0,0.0,0.0,204396.0,1.0,1.0,0.0,1.0,19.0,18005.0,73.0,2.0,3.0,6472.0,29.0,0.0,0.0,6.0,9733.0,57830.0,0.0,0.0,113.0,192.0,2.0,2.0,4.0,2.0,0.0,0.0,5.0,5.0,17.0,6.0,0.0,97.4,0.0,0.0,1
20000.0,10.78,63000.0,10.78,0.0,695.0,0.0,31.0,6.0,0.0,7869.0,56.2,18.0,0.0,2705.92,0.0,0.0,15813.3,704.0,0.0,0.0,189699.0,0.0,1.0,0.0,4.0,19.0,10827.0,73.0,0.0,2.0,2081.0,65.0,2.0,5.0,1.0,31617.0,2737.0,0.0,0.0,125.0,184.0,14.0,14.0,5.0,101.0,10.0,0.0,2.0,3.0,4.0,6.0,0.0,100.0,0.0,0.0,1
35000.0,14.85,110000.0,17.06,0.0,785.0,0.0,31.0,13.0,0.0,7802.0,11.6,17.0,15897.65,12361.66,0.0,0.0,829.9,679.0,0.0,0.0,301500.0,1.0,1.0,0.0,1.0,23.0,12609.0,70.0,1.0,1.0,6987.0,45.0,0.0,1.0,0.0,23192.0,54962.0,0.0,0.0,36.0,87.0,2.0,2.0,1.0,2.0,5.0,0.0,4.0,5.0,10.0,2.0,0.0,100.0,0.0,0.0,0
10400.0,22.45,104433.0,25.37,1.0,695.0,3.0,12.0,12.0,0.0,21929.0,64.5,35.0,0.0,1340.5,0.0,0.0,10128.96,704.0,0.0,0.0,331730.0,1.0,3.0,0.0,3.0,14.0,73839.0,84.0,4.0,7.0,9702.0,78.0,2.0,1.0,3.0,27644.0,4567.0,0.0,0.0,128.0,210.0,4.0,4.0,6.0,4.0,1.0,0.0,4.0,6.0,9.0,10.0,0.0,96.6,0.0,0.0,1
11950.0,13.44,34000.0,10.2,0.0,690.0,0.0,31.0,5.0,0.0,8822.0,68.4,6.0,0.0,1758.95,0.0,0.0,7653.56,759.0,0.0,0.0,12798.0,0.0,1.0,0.0,0.0,338.0,3976.0,99.0,0.0,0.0,4522.0,76.0,0.0,0.0,0.0,2560.0,844.0,0.0,0.0,338.0,54.0,32.0,32.0,0.0,36.0,5.0,0.0,2.0,3.0,2.0,2.0,0.0,100.0,0.0,0.0,1
20000.0,9.17,180000.0,14.67,0.0,680.0,0.0,49.0,12.0,0.0,87329.0,84.5,27.0,0.0,1393.8,0.0,0.0,15681.05,654.0,0.0,0.0,360358.0,0.0,2.0,0.0,2.0,18.0,29433.0,63.0,2.0,3.0,13048.0,74.0,1.0,0.0,1.0,30030.0,0.0,0.0,0.0,142.0,306.0,10.0,10.0,4.0,12.0,10.0,0.0,4.0,6.0,5.0,7.0,0.0,96.3,0.0,0.0,1
20000.0,8.49,85000.0,17.61,1.0,705.0,0.0,3.0,8.0,0.0,826.0,5.7,15.0,0.0,1538.51,0.0,0.0,14618.23,674.0,0.0,0.0,141601.0,0.0,3.0,0.0,4.0,13.0,27111.0,75.0,0.0,0.0,640.0,55.0,1.0,0.0,2.0,17700.0,13674.0,0.0,0.0,149.0,55.0,32.0,13.0,3.0,32.0,8.0,1.0,2.0,2.0,3.0,9.0,1.0,93.3,0.0,0.0,1
10000.0,6.49,85000.0,13.07,0.0,685.0,1.0,31.0,14.0,1.0,10464.0,34.5,23.0,0.0,998.97,0.0,0.0,1814.48,719.0,0.0,8341.0,27957.0,2.0,1.0,0.0,0.0,35.0,17493.0,57.0,2.0,7.0,2524.0,46.0,2.0,0.0,1.0,1997.0,8182.0,0.0,0.0,164.0,129.0,1.0,1.0,1.0,4.0,1.0,0.0,6.0,9.0,10.0,3.0,0.0,95.7,1.0,0.0,1
8000.0,11.48,42000.0,34.8,0.0,700.0,0.0,75.0,8.0,0.0,7034.0,39.1,18.0,0.0,939.58,0.0,0.0,4996.24,679.0,0.0,0.0,199696.0,0.0,2.0,2.0,3.0,10.0,106748.0,72.0,0.0,2.0,4725.0,49.0,0.0,0.0,1.0,28528.0,9966.0,0.0,0.0,155.0,253.0,15.0,10.0,1.0,50.0,10.0,1.0,3.0,3.0,6.0,5.0,0.0,94.4,0.0,0.0,1
